Admin Officer,hm
APC Helpar,hm
APC labor,hm
Ass.Sec.Offi.,hm
Asst . Fitter Mech.,hm
Asst Engineer,hm
Asst Ledle Meson,hm
Asst Mngr QA,hm
Asst Tech Forma,hm
Asst. Engr. Elect,hm
Asst. Fitter,hm
Asst. Fitter,hm
Asst. Manager (Acc.),hm
"Asst. Manager (Maintanance)",hm
"Asst. Manager (operation)",hm
Asst. Mech Fitter RM,hm
Asst. Pump Opt.,hm
Asst. Pump Opt.,hm
Asst. Scale man,hm
Asst. Slide Gate Opt.,hm
Asst. Tech. Fitter,hm
Asst. Tundish Meson,hm
Asst. Vat Off.,hm
Asst. Welder,hm
Asst.A/c Officer,hm
Asst.Chemist,hm
Asst.Eng Elect,hm
Asst.Engr Aoutomo,hm
Asst.Officer (Warehouse),hm
Asst.Store Officer,hm
Bari man,hm
Bariman,hm
Bending Opt,hm
Billet Crane Opt,hm
Billet Cutter,hm
Billet Cutter Hlpr,hm
Billet Cutterman,hm
Billet Lifter,hm
Billet Supervisor,hm
Blacksmith opt,hm
Box Fitter,hm
Bus Driver,hm
Car Driver,hm
Caretaker,hm
Chain Tranfer Hlper,hm
Chain Tranfer Opt,hm
Charging Crane Opt.,hm
Chef,hm
Chef Helper,hm
Chef Helper (Ind),hm
Chief Engineer,hm
Civil Supervisor,hm
Civil Supervisor,hm
Cleaner,hm
CNC Hlper,hm
CNC opt.,hm
Cold Share opt.,hm
Colling Bed Helper,hm
Colling Shear Opt,hm
Controll Desk Opt,hm
Cooling Bed Helper,hm
Cooling Bed Hlpr,hm
Cooling Bed Inch.,hm
Crane Driver,hm
Cutter Man CCM,hm
Cutterman,hm
Daily Labor,hm
Delivery Incharge,hm
Delivery Supervisor,hm
Desk Opertor,hm
DGM,hm
Doctor,hm
Dpt. Manager(Elect),hm
Ejector Opt,hm
Ejector Opt.,hm
Elect. Helper,hm
Elect. technician,hm
Electric Eng.(Section Mill),hm
Electric Helpar,hm
Electrician,hm
Eng. ( Elec. ),hm
Envt. Engnr.,hm
Fast Hand,hm
Fire man,hm
Fire Safety officer,hm
Fire Supervisor,hm
Fireman Helper,hm
Fitter,hm
Fitter,hm
Fitter (CCM),hm
Fitter (Mech),hm
Fitter Mecha.,hm
Floor Cleaner,hm
Foreman (Elect),hm
Foreman (Fur.Lin),hm
Foreman(Transport),hm
Forma Fitter,hm
Forma Welder,hm
Forma Wldr. Hlpr,hm
Forman,hm
Furnace Fitter,hm
Furnace Lining,hm
Furnace Lining,hm
Furnance Hlpr Sladge,hm
Gas Cuttr/ Welder,hm
Gas Line opt,hm
GMP,hm
Gnr/Pusher cold Opt.,hm
Guard,hm
Guard,hm
Guard(Oxygen Chottor),hm
Head Cleaner,hm
Hiace Driver,hm
"Housing Less
Roll Assembles",hm
Jomadar,hm
Jr. Electrician,hm
Jr. Store Officer,hm
Junior Elect.,hm
Khatib,hm
L. Mach.Operator,hm
Lab Assistant,hm
Land Officer,hm
Ledle Crane Opt.,hm
Ledle Lining,hm
Ledle Lining Meson,hm
Ledle Tech. Meson,hm
Lining Man Furnace,hm
Lining Tech.,hm
LMF Doctor,hm
Mag. Ex. Driver,hm
Mag.Ex.Helper,hm
Manager (Q.C),hm
Mech Helper,hm
Mech. Fitter,hm
Mech. Helper,hm
Mech. Hlpr,hm
Mech. Welder,hm
Mech.Hlp (Section Mill),hm
Mechanic CCM,hm
Mechanical Fitter,hm
Mechanical Inch.,hm
Mechanical incharge,hm
Mechanical Welder.,hm
Mechanical-Fitter,hm
Medical Asst.,hm
Megnet Driver,hm
Melter,hm
Meson Tuddish,hm
Meson Tundish,hm
Mess Helper,hm
Mill Fitter,hm
Mill Helper,hm
Mill Incharge,hm
Mini Truck Driver,hm
Motor Winder,hm
Mould operator,hm
Mould Opt,hm
Noah Driver,hm
Officer Elect. Sec. Mill,hm
Overhd Cr. Opt.,hm
Overhead Cr. opt,hm
PA(Director),hm
Pay. Driver,hm
Peon,hm
Personal Guard,hm
Pesh Imam,hm
PM,hm
Proj. Engineer,hm
Pump Operator,hm
Pump Opt. Hlpr.,hm
Pusher Man,hm
Quality Officer,hm
Roll Assembly Fitter,hm
Roll Assembly Hlpr,hm
Roll turner,hm
S.A.Engr. (Elec.),hm
S.A.Engr.( Elec.),hm
S.A.Engr.( Mech.),hm
S.Asst. Engr. Elec.,hm
Scale Man,hm
Scrap Supervisor,hm
Sec. 0fficer,hm
Sec. Officer,hm
Senior Mill Fitter,hm
Shaper Man,hm
Shift In Charge,hm
Shift In Chr. Mech.,hm
Shift Inc.,hm
Shift Inch. (Elec),hm
Shift Inch. (Furnace),hm
Shift Inch. (Mech),hm
Shift incharge,hm
Slide Gate Operator,hm
Snr. Fireman,hm
Snr.Mech Fitter,hm
Sr. Roll Turner,hm
Sr. Shift Inch.(Mc.),hm
Sr. Store Officer,hm
Sr. Trans.Mechanic,hm
Sr.Pump operator,hm
Store helper,hm
Store Hlpr,hm
Store Manager,hm
Store Officer,hm
Supervisor,hm
Tonas Man,hm
Tonas Man Hlpr,hm
Trans.Mechanic,hm
Truck Driver,hm
Truck Helper,hm
Tundish Helper,hm
Turner,hm
Vat Officer,hm
W.Hlpr,hm
Water Controller,hm
Weldar Fitter,hm
Welder,hm
Welder,hm
Workshop Helper,hm
Workshop Inch.,hm
